filepath,caller,case
/Users/famke/01-ghga-project/homogeneous-data-processing/variantcalling/TCGA-CHOL/tcga-data//muse-maf-pass/8074ddab-0da0-420c-aa12-e0688c73f1f4.wxs.MuSE.aliquot.pass.maf,TCGA MuSE,TCGA-4G-AAZG
/Users/famke/01-ghga-project/homogeneous-data-processing/variantcalling/TCGA-CHOL/tcga-data//muse-maf-pass/cf3ccfa9-649d-410d-95cd-6c4ede8277dc.wxs.MuSE.aliquot.pass.maf,TCGA MuSE,TCGA-W5-AA30
/Users/famke/01-ghga-project/homogeneous-data-processing/variantcalling/TCGA-CHOL/tcga-data//muse-maf-pass/f40f980d-4f4a-467e-8a27-c82a579e8830.wxs.MuSE.aliquot.pass.maf,TCGA MuSE,TCGA-YR-A95A
/Users/famke/01-ghga-project/homogeneous-data-processing/variantcalling/TCGA-CHOL/tcga-data//muse-maf-pass/2f28b201-504d-4f91-9699-82756c13632f.wxs.MuSE.aliquot.pass.maf,TCGA MuSE,TCGA-ZH-A8Y3
/Users/famke/01-ghga-project/homogeneous-data-processing/variantcalling/TCGA-CHOL/tcga-data//muse-maf-pass/9e55e5ad-87a5-429b-90d6-caaf6863fb1f.wxs.MuSE.aliquot.pass.maf,TCGA MuSE,TCGA-ZD-A8I3
/Users/famke/01-ghga-project/homogeneous-data-processing/variantcalling/TCGA-CHOL/tcga-data//muse-maf-pass/cc9c8678-313f-466d-87bf-25cb53c88e08.wxs.MuSE.aliquot.pass.maf,TCGA MuSE,TCGA-W7-A93P
/Users/famke/01-ghga-project/homogeneous-data-processing/variantcalling/TCGA-CHOL/tcga-data//muse-maf-pass/e06634c0-e6ad-4457-872c-8cb44381f75a.wxs.MuSE.aliquot.pass.maf,TCGA MuSE,TCGA-W5-AA2G
/Users/famke/01-ghga-project/homogeneous-data-processing/variantcalling/TCGA-CHOL/tcga-data//muse-maf-pass/fafaa60c-ee12-46c6-862d-6771e13b00dc.wxs.MuSE.aliquot.pass.maf,TCGA MuSE,TCGA-3X-AAVA
/Users/famke/01-ghga-project/homogeneous-data-processing/variantcalling/TCGA-CHOL/tcga-data//muse-maf-pass/f111d56f-7671-4c74-86b7-a4fc6cfbf2ed.wxs.MuSE.aliquot.pass.maf,TCGA MuSE,TCGA-W5-AA2X
/Users/famke/01-ghga-project/homogeneous-data-processing/variantcalling/TCGA-CHOL/tcga-data//muse-maf-pass/3b555b66-e8ac-4431-b254-fe84324a1f11.wxs.MuSE.aliquot.pass.maf,TCGA MuSE,TCGA-W5-AA2W
/Users/famke/01-ghga-project/homogeneous-data-processing/variantcalling/TCGA-CHOL/tcga-data//muse-maf-pass/767ad280-026f-4967-aae5-89c218296e26.wxs.MuSE.aliquot.pass.maf,TCGA MuSE,TCGA-W5-AA33
/Users/famke/01-ghga-project/homogeneous-data-processing/variantcalling/TCGA-CHOL/tcga-data//muse-maf-pass/cdc2835f-315a-46b9-828c-3b4c0e1d6194.wxs.MuSE.aliquot.pass.maf,TCGA MuSE,TCGA-5A-A8ZG
/Users/famke/01-ghga-project/homogeneous-data-processing/variantcalling/TCGA-CHOL/tcga-data//muse-maf-pass/f9cb2fa8-8350-4801-befd-8f03d95b8847.wxs.MuSE.aliquot.pass.maf,TCGA MuSE,TCGA-3X-AAVB
/Users/famke/01-ghga-project/homogeneous-data-processing/variantcalling/TCGA-CHOL/tcga-data//muse-maf-pass/988c4458-001d-4f0a-87c0-8c972d6bae3d.wxs.MuSE.aliquot.pass.maf,TCGA MuSE,TCGA-3X-AAVC
/Users/famke/01-ghga-project/homogeneous-data-processing/variantcalling/TCGA-CHOL/tcga-data//muse-maf-pass/0621c27e-d4d3-4ce8-b273-60b6235a7928.wxs.MuSE.aliquot.pass.maf,TCGA MuSE,TCGA-W5-AA2Q
/Users/famke/01-ghga-project/homogeneous-data-processing/variantcalling/TCGA-CHOL/tcga-data//muse-maf-pass/9e1c340b-fbb0-489d-b880-0f9e115a6e81.wxs.MuSE.aliquot.pass.maf,TCGA MuSE,TCGA-4G-AAZT
/Users/famke/01-ghga-project/homogeneous-data-processing/variantcalling/TCGA-CHOL/tcga-data//muse-maf-pass/08cf9773-f1e8-4dfd-9cc6-8a33c0d0bc18.wxs.MuSE.aliquot.pass.maf,TCGA MuSE,TCGA-W5-AA2U
/Users/famke/01-ghga-project/homogeneous-data-processing/variantcalling/TCGA-CHOL/tcga-data//muse-maf-pass/c49fd78c-35a3-4099-8640-da4783922517.wxs.MuSE.aliquot.pass.maf,TCGA MuSE,TCGA-W5-AA34
/Users/famke/01-ghga-project/homogeneous-data-processing/variantcalling/TCGA-CHOL/tcga-data//muse-maf-pass/57290cb6-4a8b-4a47-a8a2-1c3e4e1229f8.wxs.MuSE.aliquot.pass.maf,TCGA MuSE,TCGA-W5-AA38
/Users/famke/01-ghga-project/homogeneous-data-processing/variantcalling/TCGA-CHOL/tcga-data//muse-maf-pass/038fbb2f-32c8-409f-abfe-827a0a37301c.wxs.MuSE.aliquot.pass.maf,TCGA MuSE,TCGA-W5-AA2M
/Users/famke/01-ghga-project/homogeneous-data-processing/variantcalling/TCGA-CHOL/tcga-data//muse-maf-pass/9cf29cac-e0c2-494e-bfd1-d6bea9528b0f.wxs.MuSE.aliquot.pass.maf,TCGA MuSE,TCGA-W7-A93N
/Users/famke/01-ghga-project/homogeneous-data-processing/variantcalling/TCGA-CHOL/tcga-data//muse-maf-pass/1e1f749f-0677-4cb8-b2b2-493ed37a64be.wxs.MuSE.aliquot.pass.maf,TCGA MuSE,TCGA-W5-AA2K
/Users/famke/01-ghga-project/homogeneous-data-processing/variantcalling/TCGA-CHOL/tcga-data//muse-maf-pass/2c7d813c-6ccc-4181-b53a-f7c8b2f44c40.wxs.MuSE.aliquot.pass.maf,TCGA MuSE,TCGA-ZH-A8Y2
/Users/famke/01-ghga-project/homogeneous-data-processing/variantcalling/TCGA-CHOL/tcga-data//muse-maf-pass/edd17348-0848-4011-bd84-ca3b045d4ba5.wxs.MuSE.aliquot.pass.maf,TCGA MuSE,TCGA-W5-AA2R
